time,quantity
1993-12-01,291624
1994-01-01,366067
1994-02-01,366067
1994-03-01,366067
1994-04-01,366067
1994-05-01,366067
1994-06-01,366067
1994-07-01,366067
1994-08-01,366067
1994-09-01,366067
1994-10-01,366067
1994-11-01,366067
1994-12-01,366067
1995-01-01,340812
1995-02-01,340812
1995-03-01,340812
1995-04-01,340812
1995-05-01,340812
1995-06-01,340812
1995-07-01,340812
1995-08-01,340812
1995-09-01,340812
1995-10-01,340812
1995-11-01,340812
1995-12-01,340812
1996-01-01,321061
1996-02-01,321061
1996-03-01,321061
1996-04-01,321061
1996-05-01,321061
1996-06-01,321061
1996-07-01,321061
1996-08-01,321061
1996-09-01,321061
1996-10-01,321061
1996-11-01,321061
1996-12-01,321061
1997-01-01,240779
1997-02-01,240779
1997-03-01,240779
1997-04-01,240779
1997-05-01,240779
1997-06-01,240779
1997-07-01,240779
1997-08-01,240779
1997-09-01,240779
1997-10-01,240779
1997-11-01,240779
1997-12-01,240779
1998-01-01,302313
1998-02-01,302313
1998-03-01,302313
1998-04-01,302313
1998-05-01,302313
1998-06-01,302313
1998-07-01,302313
1998-08-01,302313
1998-09-01,302313
1998-10-01,302313
1998-11-01,302313
1998-12-01,302313
1999-01-01,244004
1999-02-01,244004
1999-03-01,244004
1999-04-01,244004
1999-05-01,244004
1999-06-01,244004
1999-07-01,244004
1999-08-01,244004
1999-09-01,244004
1999-10-01,244004
1999-11-01,244004
1999-12-01,244004
2000-01-01,200200
2000-02-01,200200
2000-03-01,200200
2000-04-01,200200
2000-05-01,200200
2000-06-01,200200
2000-07-01,200200
2000-08-01,200200
2000-09-01,200200
2000-10-01,200200
2000-11-01,200200
2000-12-01,200200
2001-01-01,229156
2001-02-01,229156
2001-03-01,229156
2001-04-01,229156
2001-05-01,229156
2001-06-01,229156
2001-07-01,229156
2001-08-01,229156
2001-09-01,229156
2001-10-01,229156
2001-11-01,229156
2001-12-01,229156
2002-01-01,197274
2002-02-01,197274
2002-03-01,197274
2002-04-01,197274
2002-05-01,197274
2002-06-01,197274
2002-07-01,197274
2002-08-01,197274
2002-09-01,197274
2002-10-01,197274
2002-11-01,197274
2002-12-01,197274
2003-01-01,113511
2003-02-01,113511
2003-03-01,113511
2003-04-01,113511
2003-05-01,113511
2003-06-01,113511
2003-07-01,113511
2003-08-01,113511
2003-09-01,113511
2003-10-01,113511
2003-11-01,113511
2003-12-01,113511
2004-01-01,132633
2004-02-01,132633
2004-03-01,132633
2004-04-01,132633
2004-05-01,132633
2004-06-01,132633
2004-07-01,132633
2004-08-01,132633
2004-09-01,132633
2004-10-01,132633
2004-11-01,132633
2004-12-01,132633
2005-01-01,219745
2005-02-01,219745
2005-03-01,219745
2005-04-01,219745
2005-05-01,219745
2005-06-01,219745
2005-07-01,219745
2005-08-01,219745
2005-09-01,219745
2005-10-01,219745
2005-11-01,219745
2005-12-01,219745
2006-01-01,212620
2006-02-01,212620
2006-03-01,212620
2006-04-01,212620
2006-05-01,212620
2006-06-01,212620
2006-07-01,212620
2006-08-01,212620
2006-09-01,212620
2006-10-01,212620
2006-11-01,212620
2006-12-01,212620
2007-01-01,174020
2007-02-01,174020
2007-03-01,174020
2007-04-01,174020
2007-05-01,174020
2007-06-01,174020
2007-07-01,174020
2007-08-01,174020
2007-09-01,174020
2007-10-01,174020
2007-11-01,174020
2007-12-01,174020
2008-01-01,187914
2008-02-01,187914
2008-03-01,187914
2008-04-01,187914
2008-05-01,187914
2008-06-01,187914
2008-07-01,187914
2008-08-01,187914
2008-09-01,187914
2008-10-01,187914
2008-11-01,187914
2008-12-01,187914
2009-01-01,174661
2009-02-01,174661
2009-03-01,174661
2009-04-01,174661
2009-05-01,174661
2009-06-01,174661
2009-07-01,174661
2009-08-01,174661
2009-09-01,174661
2009-10-01,174661
2009-11-01,174661
2009-12-01,174661
2010-01-01,160935
2010-02-01,160935
2010-03-01,160935
2010-04-01,160935
2010-05-01,160935
2010-06-01,160935
2010-07-01,160935
2010-08-01,160935
2010-09-01,160935
2010-10-01,160935
2010-11-01,160935
2010-12-01,160935
2011-01-01,198867
2011-02-01,198867
2011-03-01,198867
2011-04-01,198867
2011-05-01,198867
2011-06-01,198867
2011-07-01,198867
2011-08-01,198867
2011-09-01,198867
2011-10-01,198867
2011-11-01,198867
2011-12-01,198867
2012-01-01,189129
2012-02-01,189129
2012-03-01,189129
2012-04-01,189129
2012-05-01,189129
2012-06-01,189129
2012-07-01,189129
2012-08-01,189129
2012-09-01,189129
2012-10-01,189129
2012-11-01,189129
2012-12-01,189129
2013-01-01,194021
2013-02-01,194021
2013-03-01,194021
2013-04-01,194021
2013-05-01,194021
2013-06-01,194021
2013-07-01,194021
2013-08-01,194021
2013-09-01,194021
2013-10-01,194021
2013-11-01,194021
2013-12-01,194021
2014-01-01,135801
2014-02-01,135801
2014-03-01,135801
2014-04-01,135801
2014-05-01,135801
2014-06-01,135801
2014-07-01,135801
2014-08-01,135801
2014-09-01,135801
2014-10-01,135801
2014-11-01,135801
2014-12-01,135801
2015-01-01,126125
2015-02-01,126125
2015-03-01,126125
2015-04-01,126125
2015-05-01,126125
2015-06-01,126125
2015-07-01,126125
2015-08-01,126125
2015-09-01,126125
2015-10-01,126125
2015-11-01,126125
2015-12-01,126125
2016-01-01,143246
2016-02-01,143246
2016-03-01,143246
2016-04-01,143246
2016-05-01,143246
2016-06-01,143246
2016-07-01,143246
2016-08-01,143246
2016-09-01,143246
2016-10-01,143246
2016-11-01,143246
2016-12-01,143246
2017-01-01,162939
2017-02-01,162939
2017-03-01,162939
2017-04-01,162939
2017-05-01,162939
2017-06-01,162939
2017-07-01,162939
2017-08-01,162939
2017-09-01,162939
2017-10-01,162939
2017-11-01,162939
2017-12-01,162939
2018-01-01,89262
2018-02-01,89262
2018-03-01,89262
2018-04-01,89262
2018-05-01,89262
2018-06-01,89262
2018-07-01,89262
2018-08-01,89262
2018-09-01,89262
2018-10-01,89262
2018-11-01,89262
2018-12-01,89262
2019-01-01,90011
2019-02-01,90011
2019-03-01,90011
2019-04-01,90011
2019-05-01,90011
2019-06-01,90011
2019-07-01,90011
2019-08-01,90011
2019-09-01,90011
2019-10-01,90011
2019-11-01,90011
2019-12-01,90011
2020-01-01,114044
2020-02-01,114044
2020-03-01,114044
2020-04-01,114044
2020-05-01,114044
2020-06-01,114044
2020-07-01,114044
2020-08-01,114044
2020-09-01,114044
2020-10-01,114044
2020-11-01,114044
2020-12-01,114044
2021-01-01,126377
2021-02-01,126377
2021-03-01,126377
2021-04-01,126377
2021-05-01,126377
2021-06-01,126377
2021-07-01,126377
2021-08-01,126377
2021-09-01,126377
2021-10-01,126377
2021-11-01,126377
2021-12-01,126377
2022-01-01,127109
2022-02-01,127109
2022-03-01,127109
2022-04-01,127109
2022-05-01,127109
2022-06-01,127109
2022-07-01,127109
2022-08-01,127109
2022-09-01,127109
2022-10-01,127109
2022-11-01,127109
2022-12-01,127109
2023-01-01,145092
2023-02-01,145092
2023-03-01,145092
2023-04-01,145092
2023-05-01,145092
2023-06-01,145092
2023-07-01,145092
2023-08-01,145092
2023-09-01,145092
2023-10-01,145092
2023-11-01,145092
2023-12-01,145092
2024-01-01,141499
2024-02-01,141499
2024-03-01,141499
2024-04-01,141499
2024-05-01,141499
2024-06-01,141499
2024-07-01,141499
2024-08-01,141499
2024-09-01,141499
2024-10-01,141499
2024-11-01,141499
2024-12-01,141499
