NHGISCODE,GJOIN1970,GJOIN1980,GJOIN1990,GJOIN2000,GJOIN2010,GJOIN2020,STATE,STATEFP,STATENH,PLACE,PLACEA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2020,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
"G04025650",,,,,"G04025650","G04025650","Arizona","04","040","Franklin CDP","25650",,,,,"Franklin CDP","Franklin CDP",,,,,92,75
"G04025720","G0400125","G0400125","G04025720","G04025720","G04025720","G04025720","Arizona","04","040","Fredonia town","25720","Fredonia","FREDONIA TOWN","Fredonia town","Fredonia town","Fredonia town","Fredonia town",,1040,1207,1036,1314,1323
"G04025735",,,,,"G04025735","G04025735","Arizona","04","040","Freedom Acres CDP","25735",,,,,"Freedom Acres CDP","Freedom Acres CDP",,,,,84,90
"G04026070",,,,"G04026070","G04026070","G04026070","Arizona","04","040","Gadsden CDP","26070",,,,"Gadsden CDP","Gadsden CDP","Gadsden CDP",,,,953,678,571
"G04026210",,,"G04026210","G04026210","G04026210","G04026210","Arizona","04","040","Ganado CDP","26210",,,"Ganado CDP","Ganado CDP","Ganado CDP","Ganado CDP",,,1257,1505,1210,883
"G04026780",,,,,"G04026780","G04026780","Arizona","04","040","Geronimo Estates CDP","26780",,,,,"Geronimo Estates CDP","Geronimo Estates CDP",,,,,60,30
"G04027050","G0400129","G0400129","G04027050","G04027050","G04027050","G04027050","Arizona","04","040","Gila Bend town","27050","Gila Bend","GILA BEND TOWN","Gila Bend town","Gila Bend town","Gila Bend town","Gila Bend town",1795,1585,1747,1980,1922,1892
"G04027260",,,,,"G04027260","G04027260","Arizona","04","040","Gila Crossing CDP","27260",,,,,"Gila Crossing CDP","Gila Crossing CDP",,,,,621,636
"G04027400","G0400135","G0400135","G04027400","G04027400","G04027400","G04027400","Arizona","04","040","Gilbert town","27400","Gilbert","GILBERT TOWN","Gilbert town","Gilbert town","Gilbert town","Gilbert town",1971,5717,29188,109697,208453,267918
"G04027540",,,,"G04027540","G04027540","G04027540","Arizona","04","040","Gisela CDP","27540",,,,"Gisela CDP","Gisela CDP","Gisela CDP",,,,532,570,536
"G04027820","G0400140","G0400140","G04027820","G04027820","G04027820","G04027820","Arizona","04","040","Glendale city","27820","Glendale","GLENDALE CITY","Glendale city","Glendale city","Glendale city","Glendale city",36228,97172,148134,218812,226721,248325
"G04028030","G0400145","G0400145","G04028030","G04028030","G04028030","G04028030","Arizona","04","040","Globe city","28030","Globe","GLOBE CITY","Globe city","Globe city","Globe city","Globe city",7333,6708,6062,7486,7532,7249
"G04028140",,,,"G04028120","G04028120","G04028140","Arizona","04","040","Gold Canyon CDP","28140",,,,"Gold Camp CDP","Gold Canyon CDP","Gold Canyon CDP",,,,6029,10159,11404
"G04028190",,,,,"G04028190","G04028190","Arizona","04","040","Golden Shores CDP","28190",,,,,"Golden Shores CDP","Golden Shores CDP",,,,,2047,1927
"G04028195",,,"G04028195","G04028195","G04028195","G04028195","Arizona","04","040","Golden Valley CDP","28195",,,"Golden Valley CDP","Golden Valley CDP","Golden Valley CDP","Golden Valley CDP",,,2619,4515,8370,8801
"G04028465",,,,,"G04028465","G04028465","Arizona","04","040","Goodyear Village CDP","28465",,,,,"Goodyear Village CDP","Goodyear Village CDP",,,,,457,463
"G04028380","G0400150","G0400150","G04028380","G04028380","G04028380","G04028380","Arizona","04","040","Goodyear city","28380","Goodyear","GOODYEAR TOWN","Goodyear city","Goodyear city","Goodyear city","Goodyear city",2140,2747,6258,18911,65275,95294
"G04028981","G0400155","G0400156","G04028981","G04028981","G04028981","G04028981","Arizona","04","040","Grand Canyon Village CDP","28981","Grand Canyon (U)","GRAND CANYON VILLAGE %CDP<","Grand Canyon Village CDP","Grand Canyon Village CDP","Grand Canyon Village CDP","Grand Canyon Village CDP",1011,1348,1499,1460,2004,1784
"G04028985",,,,,"G04028985","G04028985","Arizona","04","040","Grand Canyon West CDP","28985",,,,,"Grand Canyon West CDP","Grand Canyon West CDP",,,,,2,0
"G04029430",,,"G04029430","G04029430","G04029430","G04029430","Arizona","04","040","Greasewood CDP","29430",,,"Greasewood CDP","Greasewood CDP","Greasewood CDP","Greasewood CDP",,,196,581,547,372
"G04029710",,"G0400157","G04029710","G04029710","G04029710","G04029710","Arizona","04","040","Green Valley CDP","29710",,"GREEN VALLEY %CDP<","Green Valley CDP","Green Valley CDP","Green Valley CDP","Green Valley CDP",,7999,13231,17283,21391,22616
"G04029603",,,,,,"G04029603","Arizona","04","040","Greenehaven CDP","29603",,,,,,"Greenehaven CDP",,,,,,381
"G04029850",,,,,"G04029850","G04029850","Arizona","04","040","Greer CDP","29850",,,,,"Greer CDP","Greer CDP",,,,,41,58
"G04030550",,,,,"G04030550","G04030550","Arizona","04","040","Gu Oidak CDP","30550",,,,,"Gu Oidak CDP","Gu Oidak CDP",,,,,188,126
"G04030270",,"G0400158","G04030270","G04030270","G04030270","G04030270","Arizona","04","040","Guadalupe town","30270",,"GUADALUPE TOWN","Guadalupe town","Guadalupe town","Guadalupe town","Guadalupe town",,4506,5458,5228,5523,5322
"G04030830",,,,,"G04030830","G04030830","Arizona","04","040","Hackberry CDP","30830",,,,,"Hackberry CDP","Hackberry CDP",,,,,68,103
"G04030840",,,,,"G04030840","G04030840","Arizona","04","040","Haigler Creek CDP","30840",,,,,"Haigler Creek CDP","Haigler Creek CDP",,,,,19,35
"G04030850",,,,,"G04030850","G04030850","Arizona","04","040","Haivana Nakya CDP","30850",,,,,"Haivana Nakya CDP","Haivana Nakya CDP",,,,,96,72
"G04031182",,,,,"G04031182","G04031182","Arizona","04","040","Hard Rock CDP","31182",,,,,"Hard Rock CDP","Hard Rock CDP",,,,,94,38
"G04032020","G0400160","G0400160","G04032020","G04032020","G04032020","G04032020","Arizona","04","040","Hayden town","32020","Hayden","HAYDEN TOWN","Hayden town","Hayden town","Hayden town","Hayden town",1283,1205,909,892,662,512
"G04032310",,,"G04032410","G04032310","G04032310","G04032310","Arizona","04","040","Heber-Overgaard CDP","32310",,,"Heber-Overgaard CDP","Heber-Overgaard CDP","Heber-Overgaard CDP","Heber-Overgaard CDP",,,1581,2722,2822,2898
"G04033280","G0400165","G0400165","G04033280","G04033280","G04033280","G04033280","Arizona","04","040","Holbrook city","33280","Holbrook","HOLBROOK CITY","Holbrook city","Holbrook city","Holbrook city","Holbrook city",4759,5785,4686,4917,5053,4858
"G04033440",,,,,"G04033440","G04033440","Arizona","04","040","Hondah CDP","33440",,,,,"Hondah CDP","Hondah CDP",,,,,812,814
"G04033910",,,"G04033910",,,,"Arizona","04","040","Hotevilla CDP","33910",,,"Hotevilla CDP",,,,,,869,,,
"G04033945",,,,"G04033945","G04033945","G04033945","Arizona","04","040","Hotevilla-Bacavi CDP","33945",,,,"Hotevilla-Bacavi CDP","Hotevilla-Bacavi CDP","Hotevilla-Bacavi CDP",,,,767,957,1001
"G04033980",,,,"G04033980","G04033980","G04033980","Arizona","04","040","Houck CDP","33980",,,,"Houck CDP","Houck CDP","Houck CDP",,,,1087,1024,886
"G04034120","G0400170","G0400170","G04034120","G04034120","G04034120","G04034120","Arizona","04","040","Huachuca City town","34120","Huachuca","HUACHUCA CITY TOWN","Huachuca City town","Huachuca City town","Huachuca City town","Huachuca City town",1233,1661,1782,1751,1853,1626
"G04034700",,,,,"G04034700","G04034700","Arizona","04","040","Hunter Creek CDP","34700",,,,,"Hunter Creek CDP","Hunter Creek CDP",,,,,48,51
"G04034980",,,,,"G04034980","G04034980","Arizona","04","040","Icehouse Canyon CDP","34980",,,,,"Icehouse Canyon CDP","Icehouse Canyon CDP",,,,,677,574
"G04035310",,,,,"G04035310","G04035310","Arizona","04","040","Indian Wells CDP","35310",,,,,"Indian Wells CDP","Indian Wells CDP",,,,,255,232
"G04036440",,,,,,"G04036440","Arizona","04","040","J-Six Ranchettes CDP","36440",,,,,,"J-Six Ranchettes CDP",,,,,,647
"G04036010",,,,,"G04036010","G04036010","Arizona","04","040","Jakes Corner CDP","36010",,,,,"Jakes Corner CDP","Jakes Corner CDP",,,,,76,98
"G04036150",,,,"G04036150","G04036150","G04036150","Arizona","04","040","Jeddito CDP","36150",,,,"Jeddito CDP","Jeddito CDP","Jeddito CDP",,,,390,293,346
"G04036290","G0400175","G0400175","G04036290","G04036290","G04036290","G04036290","Arizona","04","040","Jerome town","36290","Jerome","JEROME TOWN","Jerome town","Jerome town","Jerome town","Jerome town",,420,403,329,444,464
"G04036430",,,,,"G04036430","G04036430","Arizona","04","040","Joseph City CDP","36430",,,,,"Joseph City CDP","Joseph City CDP",,,,,1386,1307
"G04036475",,,"G04036475","G04036475","G04036475","G04036475","Arizona","04","040","Kachina Village CDP","36475",,,"Kachina Village CDP","Kachina Village CDP","Kachina Village CDP","Kachina Village CDP",,,1711,2664,2622,2502
"G04036500",,,,"G04036500","G04036500","G04036500","Arizona","04","040","Kaibab CDP","36500",,,,"Kaibab CDP","Kaibab CDP","Kaibab CDP",,,,275,124,140
"G04036535",,,,,,"G04036535","Arizona","04","040","Kaibab Estates West CDP","36535",,,,,,"Kaibab Estates West CDP",,,,,,1034
"G04036640",,,"G04036640","G04036640","G04036640","G04036640","Arizona","04","040","Kaibito CDP","36640",,,"Kaibito CDP","Kaibito CDP","Kaibito CDP","Kaibito CDP",,,641,1607,1522,1540
"G04036780",,,,,"G04036780","G04036780","Arizona","04","040","Kaka CDP","36780",,,,,"Kaka CDP","Kaka CDP",,,,,141,83
"G04036920",,,,,"G04036920","G04036920","Arizona","04","040","Katherine CDP","36920",,,,,"Katherine CDP","Katherine CDP",,,,,103,76
"G04036990",,"G0400178","G04036990","G04036990","G04036990","G04036990","Arizona","04","040","Kayenta CDP","36990",,"KAYENTA %CDP<","Kayenta CDP","Kayenta CDP","Kayenta CDP","Kayenta CDP",,3343,4372,4922,5189,4670
"G04037130",,,"G04037130","G04037130","G04037130","G04037130","Arizona","04","040","Keams Canyon CDP","37130",,,"Keams Canyon CDP","Keams Canyon CDP","Keams Canyon CDP","Keams Canyon CDP",,,393,260,304,265
"G04037200","G0400180","G0400180","G04037200","G04037200","G04037200","G04037200","Arizona","04","040","Kearny town","37200","Kearny","KEARNY TOWN","Kearny town","Kearny town","Kearny town","Kearny town",2829,2646,2262,2249,1950,1741
"G04037620","G0400185","G0400185","G04037620","G04037620","G04037620","G04037620","Arizona","04","040","Kingman city","37620","Kingman","KINGMAN CITY","Kingman city","Kingman city","Kingman city","Kingman city",7312,9257,12722,20069,28068,32689
"G04037935",,,,,"G04037935","G04037935","Arizona","04","040","Kino Springs CDP","37935",,,,,"Kino Springs CDP","Kino Springs CDP",,,,,136,166
"G04038250",,,,,"G04038250","G04038250","Arizona","04","040","Klagetoh CDP","38250",,,,,"Klagetoh CDP","Klagetoh CDP",,,,,242,181
"G04038290",,,,,,"G04038290","Arizona","04","040","Kleindale CDP","38290",,,,,,"Kleindale CDP",,,,,,165
"G04038950",,,,,"G04038940","G04038950","Arizona","04","040","Ko Vaya CDP","38950",,,,,"Ko Vaya CDP","Ko Vaya CDP",,,,,46,43
"G04038530",,,,,"G04038530","G04038530","Arizona","04","040","Kohatk CDP","38530",,,,,"Kohatk CDP","Kohatk CDP",,,,,27,37
"G04038600",,,,,"G04038600","G04038600","Arizona","04","040","Kohls Ranch CDP","38600",,,,,"Kohls Ranch CDP","Kohls Ranch CDP",,,,,46,30
"G04038655",,,"G04038670",,"G04038655","G04038655","Arizona","04","040","Komatke CDP","38655",,,"Komatke CDP",,"Komatke CDP","Komatke CDP",,,1116,,821,1013
"G04039100",,,"G04039100","G04039100","G04039100","G04039100","Arizona","04","040","Kykotsmovi Village CDP","39100",,,"Kykotsmovi Village CDP","Kykotsmovi Village CDP","Kykotsmovi Village CDP","Kykotsmovi Village CDP",,,773,776,746,736
"G04040160",,,,,"G04040160","G04040160","Arizona","04","040","La Paz Valley CDP","40160",,,,,"La Paz Valley CDP","La Paz Valley CDP",,,,,699,368
"G04039370",,"G0400187","G04039370","G04039370","G04039370","G04039370","Arizona","04","040","Lake Havasu City city","39370",,"LAKE HAVASU CITY CITY","Lake Havasu City city","Lake Havasu City city","Lake Havasu City city","Lake Havasu City city",,15909,24363,41938,52527,57144
"G04039720",,,"G04039720","G04039720","G04039720","G04039720","Arizona","04","040","Lake Montezuma CDP","39720",,,"Lake Montezuma CDP","Lake Montezuma CDP","Lake Montezuma CDP","Lake Montezuma CDP",,,1841,3344,4706,5111
"G04039790",,,,,"G04039790","G04039790","Arizona","04","040","Lake of the Woods CDP","39790",,,,,"Lake of the Woods CDP","Lake of the Woods CDP",,,,,4094,3648
"G0400188",,"G0400188",,,,,"Arizona","04","040","Lakeside","0188",,"LAKESIDE %CDP<",,,,,,1333,,,,
"G04040400",,,,,"G04040400","G04040400","Arizona","04","040","Lazy Y U CDP","40400",,,,,"Lazy Y U CDP","Lazy Y U CDP",,,,,428,474
"G04040415",,,,"G04040415","G04040415","G04040415","Arizona","04","040","LeChee CDP","40415",,,,"Lechee CDP","LeChee CDP","LeChee CDP",,,,1606,1443,1236
"G04040630",,,"G04040630","G04040630","G04040630","G04040630","Arizona","04","040","Leupp CDP","40630",,,"Leupp CDP","Leupp CDP","Leupp CDP","Leupp CDP",,,857,970,951,934
"G04041085",,,,,"G04041085","G04041085","Arizona","04","040","Linden CDP","41085",,,,,"Linden CDP","Linden CDP",,,,,2597,2760
"G04041330","G0400190","G0400190","G04041330","G04041330","G04041330","G04041330","Arizona","04","040","Litchfield Park city","41330","Litchfield Park (U)","LITCHFIELD PARK %CDP<","Litchfield Park city","Litchfield Park city","Litchfield Park city","Litchfield Park city",1664,3657,3303,3810,5476,6847
"G04041470",,,,,"G04041470","G04041470","Arizona","04","040","Littlefield CDP","41470",,,,,"Littlefield CDP","Littlefield CDP",,,,,308,256
"G04041540",,,,"G04041540","G04041540",,"Arizona","04","040","Littletown CDP","41540",,,,"Littletown CDP","Littletown CDP",,,,,1010,873,
"G04042590",,,,,"G04042590","G04042590","Arizona","04","040","Low Mountain CDP","42590",,,,,"Low Mountain CDP","Low Mountain CDP",,,,,757,631
"G04042460",,,,,"G04042460","G04042460","Arizona","04","040","Lower Santan Village CDP","42460",,,,,"Lower Santan Village CDP","Lower Santan Village CDP",,,,,374,437
"G04042660",,"G0400193","G04042660","G04042660","G04042660","G04042660","Arizona","04","040","Lukachukai CDP","42660",,"LUKACHUKAI %CDP<","Lukachukai CDP","Lukachukai CDP","Lukachukai CDP","Lukachukai CDP",,1049,113,1565,1701,1424
"G04042800","G0400195","G0400195","G04042800",,,,"Arizona","04","040","Luke AFB CDP","42800","Luke (U)","LUKE AFB %CDP<","Luke AFB CDP",,,,5047,3515,4371,,,
"G04042940",,,,,"G04042940","G04042940","Arizona","04","040","Lupton CDP","42940",,,,,"Lupton CDP","Lupton CDP",,,,,25,19
"G04043920",,,,,"G04043920","G04043920","Arizona","04","040","Maish Vaya CDP","43920",,,,,"Maish Vaya CDP","Maish Vaya CDP",,,,,158,129
"G04043990","G0400205","G0400205","G04043990","G04043990","G04043990","G04043990","Arizona","04","040","Mammoth town","43990","Mammoth","MAMMOTH TOWN","Mammoth town","Mammoth town","Mammoth town","Mammoth town",1953,1906,1845,1762,1426,1076
"G04044200",,"G0400207","G04044200","G04044200","G04044200","G04044200","Arizona","04","040","Many Farms CDP","44200",,"MANY FARMS %CDP<","Many Farms CDP","Many Farms CDP","Many Farms CDP","Many Farms CDP",,1364,1294,1548,1348,1243
"G04044270",,"G0400210","G04044270","G04044270","G04044270","G04044270","Arizona","04","040","Marana town","44270",,"MARANA TOWN","Marana town","Marana town","Marana town","Marana town",,1674,2187,13556,34961,51908
"G04044450",,,,,"G04044450","G04044450","Arizona","04","040","Maricopa Colony CDP","44450",,,,,"Maricopa Colony CDP","Maricopa Colony CDP",,,,,709,854
"G04044410",,,,"G04044410","G04044410","G04044410","Arizona","04","040","Maricopa city","44410",,,,"Maricopa CDP","Maricopa city","Maricopa city",,,,1040,43482,58125
"G04044830",,,,,"G04044830","G04044830","Arizona","04","040","Martinez Lake CDP","44830",,,,,"Martinez Lake CDP","Martinez Lake CDP",,,,,798,94
"G04045180",,,,"G04045180","G04045180","G04045180","Arizona","04","040","Mayer CDP","45180",,,,"Mayer CDP","Mayer CDP","Mayer CDP",,,,1408,1497,1558
"G04043150",,,,,"G04043150","G04043150","Arizona","04","040","McConnico CDP","43150",,,,,"McConnico CDP","McConnico CDP",,,,,70,63
"G04043430",,"G0400200","G04043430","G04043430","G04043430","G04043430","Arizona","04","040","McNary CDP","43430",,"MCNARY %CDP<","McNary CDP","McNary CDP","McNary CDP","McNary CDP",,1320,355,349,528,484
"G04043570",,,,,"G04043570","G04043570","Arizona","04","040","McNeal CDP","43570",,,,,"McNeal CDP","McNeal CDP",,,,,238,182
"G04045275",,,,,"G04045275","G04045275","Arizona","04","040","Mead Ranch CDP","45275",,,,,"Mead Ranch CDP","Mead Ranch CDP",,,,,38,42
"G04045285",,,,,"G04045285","G04045285","Arizona","04","040","Meadview CDP","45285",,,,,"Meadview CDP","Meadview CDP",,,,,1224,1420
"G04046000","G0400215","G0400215","G04046000","G04046000","G04046000","G04046000","Arizona","04","040","Mesa city","46000","Mesa","MESA CITY","Mesa city","Mesa city","Mesa city","Mesa city",62853,152453,288091,396375,439041,504258
"G04046005",,,,,"G04046005","G04046005","Arizona","04","040","Mesa del Caballo CDP","46005",,,,,"Mesa del Caballo CDP","Mesa del Caballo CDP",,,,,765,781
"G04046070",,,,,"G04046070","G04046070","Arizona","04","040","Mescal CDP","46070",,,,,"Mescal CDP","Mescal CDP",,,,,1812,1751
"G04046087",,,,"G04046087","G04046087","G04046087","Arizona","04","040","Mesquite Creek CDP","46087",,,,"Mesquite Creek CDP","Mesquite Creek CDP","Mesquite Creek CDP",,,,205,416,403
"G04046350","G0400220","G0400220","G04046350","G04046350","G04046350","G04046350","Arizona","04","040","Miami town","46350","Miami","MIAMI TOWN","Miami town","Miami town","Miami town","Miami town",3394,2716,2018,1936,1837,1541
"G04046840",,,,,"G04046840","G04046840","Arizona","04","040","Miracle Valley CDP","46840",,,,,"Miracle Valley CDP","Miracle Valley CDP",,,,,644,571
"G04047190",,,,,"G04047190","G04047190","Arizona","04","040","Moccasin CDP","47190",,,,,"Moccasin CDP","Moccasin CDP",,,,,89,53
"G04047330",,,"G04047330","G04047330","G04047330","G04047330","Arizona","04","040","Moenkopi CDP","47330",,,"Moenkopi CDP","Moenkopi CDP","Moenkopi CDP","Moenkopi CDP",,,924,901,964,771
"G04047400",,,"G04047400","G04047400","G04047400","G04047400","Arizona","04","040","Mohave Valley CDP","47400",,,"Mohave Valley CDP","Mohave Valley CDP","Mohave Valley CDP","Mohave Valley CDP",,,6962,13694,2616,2693
"G04047495",,,,"G04047495","G04047495","G04047495","Arizona","04","040","Mojave Ranch Estates CDP","47495",,,,"Mojave Ranch Estates CDP","Mojave Ranch Estates CDP","Mojave Ranch Estates CDP",,,,28,52,53
"G04047610",,"G0400230","G04047610","G04047610","G04047610","G04047610","Arizona","04","040","Morenci CDP","47610",,"MORENCI %CDP<","Morenci CDP","Morenci CDP","Morenci CDP","Morenci CDP",,2736,1799,1879,1489,2028
"G04047680",,,,,,"G04047680","Arizona","04","040","Mormon Lake CDP","47680",,,,,,"Mormon Lake CDP",,,,,,90
"G04047750",,,,,"G04047740","G04047750","Arizona","04","040","Morristown CDP","47750",,,,,"Morristown CDP","Morristown CDP",,,,,227,186
"G04047925",,,,,,"G04047925","Arizona","04","040","Mountain View Ranches CDP","47925",,,,,,"Mountain View Ranches CDP",,,,,,1508
"G04047820",,,,"G04047820","G04047820","G04047820","Arizona","04","040","Mountainaire CDP","47820",,,,"Mountainaire CDP","Mountainaire CDP","Mountainaire CDP",,,,1014,1119,1068
"G04048170",,,,"G04048170","G04048170","G04048170","Arizona","04","040","Munds Park CDP","48170",,,,"Munds Park CDP","Munds Park CDP","Munds Park CDP",,,,1250,631,1096
"G04048310",,,,"G04048310","G04048310","G04048310","Arizona","04","040","Naco CDP","48310",,,,"Naco CDP","Naco CDP","Naco CDP",,,,833,1046,824
"G04049010",,,,"G04049010","G04049010","G04049010","Arizona","04","040","Nazlini CDP","49010",,,,"Nazlini CDP","Nazlini CDP","Nazlini CDP",,,,397,489,505
"G04049100",,,,,"G04049100","G04049100","Arizona","04","040","Nelson CDP","49100",,,,,"Nelson CDP","Nelson CDP",,,,,259,249
"G04049270",,,"G04049270","G04049270","G04049270","G04049270","Arizona","04","040","New Kingman-Butler CDP","49270",,,"New Kingman-Butler CDP","New Kingman-Butler CDP","New Kingman-Butler CDP","New Kingman-Butler CDP",,,11627,14810,12134,12907
"G04049360",,,,"G04049360","G04049360","G04049360","Arizona","04","040","New River CDP","49360",,,,"New River CDP","New River CDP","New River CDP",,,,10740,14952,17290
"G04049640","G0400235","G0400235","G04049640","G04049640","G04049640","G04049640","Arizona","04","040","Nogales city","49640","Nogales","NOGALES CITY","Nogales city","Nogales city","Nogales city","Nogales city",8946,15683,19489,20878,20837,19770
"G04049710",,,,,"G04049710","G04049710","Arizona","04","040","Nolic CDP","49710",,,,,"Nolic CDP","Nolic CDP",,,,,37,12
"G04050000",,,,,"G04050000","G04050000","Arizona","04","040","North Fork CDP","50000",,,,,"North Fork CDP","North Fork CDP",,,,,1417,1467
"G04050340",,,,,"G04050340","G04050340","Arizona","04","040","Nutrioso CDP","50340",,,,,"Nutrioso CDP","Nutrioso CDP",,,,,26,39
"G04050362",,,,,,"G04050362","Arizona","04","040","Oak Creek Canyon CDP","50362",,,,,,"Oak Creek Canyon CDP",,,,,,442
"G04050480",,,,,"G04050480","G04050480","Arizona","04","040","Oak Springs CDP","50480",,,,,"Oak Springs CDP","Oak Springs CDP",,,,,63,54
"G04050620",,,,,"G04050620","G04050620","Arizona","04","040","Oatman CDP","50620",,,,,"Oatman CDP","Oatman CDP",,,,,135,102
"G04051142",,,,"G04051142","G04051142","G04051142","Arizona","04","040","Oljato-Monument Valley CDP","51142",,,,"Oljato-Monument Valley CDP","Oljato-Monument Valley CDP","Oljato-Monument Valley CDP",,,,155,154,115
"G04051180",,"G0400237","G04051180","G04051180","G04051180","G04051180","Arizona","04","040","Oracle CDP","51180",,"ORACLE %CDP<","Oracle CDP","Oracle CDP","Oracle CDP","Oracle CDP",,2484,3043,3563,3686,3051
"G04051465",,,,,"G04051465","G04051465","Arizona","04","040","Orange Grove Mobile Manor CDP","51465",,,,,"Orange Grove Mobile Manor CDP","Orange Grove Mobile Manor CDP",,,,,594,495
"G04051600",,"G0400238","G04051600","G04051600","G04051600","G04051600","Arizona","04","040","Oro Valley town","51600",,"ORO VALLEY TOWN","Oro Valley town","Oro Valley town","Oro Valley town","Oro Valley town",,1489,6670,29700,41011,47070
"G04051775",,,,,"G04051775","G04051775","Arizona","04","040","Oxbow Estates CDP","51775",,,,,"Oxbow Estates CDP","Oxbow Estates CDP",,,,,217,198
"G04051800",,,,,"G04051800","G04051800","Arizona","04","040","Padre Ranchitos CDP","51800",,,,,"Padre Ranchitos CDP","Padre Ranchitos CDP",,,,,171,133
"G04051810","G0400240","G0400240","G04051810","G04051810","G04051810","G04051810","Arizona","04","040","Page city","51810","Page (U)","PAGE CITY","Page city","Page city","Page city","Page city",1439,4907,6598,6809,7247,7440
"G04052230",,,,,"G04052230","G04052230","Arizona","04","040","Palominas CDP","52230",,,,,"Palominas CDP","Palominas CDP",,,,,212,222
"G04052930","G0400242","G0400242","G04052930","G04052930","G04052930","G04052930","Arizona","04","040","Paradise Valley town","52930","Paradise Valley","PARADISE VALLEY TOWN","Paradise Valley town","Paradise Valley town","Paradise Valley town","Paradise Valley town",7155,11085,11671,13664,12820,12658
"G04053210",,,"G04053210","G04053210","G04053210","G04053210","Arizona","04","040","Parker Strip CDP","53210",,,"Parker Strip CDP","Parker Strip CDP","Parker Strip CDP","Parker Strip CDP",,,1646,3302,662,621
"G04053070","G0400245","G0400245","G04053070","G04053070","G04053070","G04053070","Arizona","04","040","Parker town","53070","Parker","PARKER TOWN","Parker town","Parker town","Parker town","Parker town",1948,2542,2897,3140,3083,3417
"G04053350",,,,"G04053350","G04053350","G04053350","Arizona","04","040","Parks CDP","53350",,,,"Parks CDP","Parks CDP","Parks CDP",,,,1137,1188,1382
"G04053490","G0400250","G0400250","G04053490","G04053490","G04053490","G04053490","Arizona","04","040","Patagonia town","53490","Patagonia","PATAGONIA TOWN","Patagonia town","Patagonia town","Patagonia town","Patagonia town",,980,888,881,913,804
"G04053560",,,,"G04053560","G04053560","G04053560","Arizona","04","040","Paulden CDP","53560",,,,"Paulden CDP","Paulden CDP","Paulden CDP",,,,3420,5231,5567
"G04053700","G0400252","G0400252","G04053700","G04053700","G04053700","G04053700","Arizona","04","040","Payson town","53700","Payson (U)","PAYSON TOWN","Payson town","Payson town","Payson town","Payson town",1490,5068,8377,13620,15301,16351
"G04053770",,,"G04053770","G04053770","G04053770","G04053770","Arizona","04","040","Peach Springs CDP","53770",,,"Peach Springs CDP","Peach Springs CDP","Peach Springs CDP","Peach Springs CDP",,,787,600,1090,1098
"G04053910",,,,"G04053910","G04053910","G04053910","Arizona","04","040","Peeples Valley CDP","53910",,,,"Peeples Valley CDP","Peeples Valley CDP","Peeples Valley CDP",,,,374,428,499
"G04054050","G0400255","G0400255","G04054050","G04054050","G04054050","G04054050","Arizona","04","040","Peoria city","54050","Peoria","PEORIA CITY","Peoria city","Peoria city","Peoria city","Peoria city",4792,12251,50618,108364,154065,190985
"G04054190",,,"G04054190","G04054190","G04054190","G04054190","Arizona","04","040","Peridot CDP","54190",,,"Peridot CDP","Peridot CDP","Peridot CDP","Peridot CDP",,,957,1266,1350,1308
"G04055000","G0400260","G0400260","G04055000","G04055000","G04055000","G04055000","Arizona","04","040","Phoenix city","55000","Phoenix","PHOENIX CITY","Phoenix city","Phoenix city","Phoenix city","Phoenix city",581562,789704,983403,1321045,1445632,1608139
"G04055210",,,,,"G04055210","G04055210","Arizona","04","040","Picacho CDP","55210",,,,,"Picacho CDP","Picacho CDP",,,,,471,250
"G04055300",,,"G04055300","G04055300","G04055300","G04055300","Arizona","04","040","Picture Rocks CDP","55300",,,"Picture Rocks CDP","Picture Rocks CDP","Picture Rocks CDP","Picture Rocks CDP",,,4026,8139,9563,9551
"G04055560","G0400265","G0400265","G04055560","G04055560","G04055560","G04055560","Arizona","04","040","Pima town","55560","Pima","PIMA TOWN","Pima town","Pima town","Pima town","Pima town",1184,1599,1725,1989,2387,2847
"G04055575",,,,,"G04055575",,"Arizona","04","040","Pimaco Two CDP","55575",,,,,"Pimaco Two CDP",,,,,,682,
"G04055630",,,,,"G04055630","G04055630","Arizona","04","040","Pinal CDP","55630",,,,,"Pinal CDP","Pinal CDP",,,,,439,456
"G04055700",,,,"G04055700","G04055700","G04055700","Arizona","04","040","Pine CDP","55700",,,,"Pine CDP","Pine CDP","Pine CDP",,,,1931,1963,1953
"G04055845",,,,,"G04055845","G04055845","Arizona","04","040","Pine Lake CDP","55845",,,,,"Pine Lake CDP","Pine Lake CDP",,,,,138,142
"G04055840",,,,,"G04055840","G04055840","Arizona","04","040","Pinedale CDP","55840",,,,,"Pinedale CDP","Pinedale CDP",,,,,487,482
"G0400268",,"G0400268",,,,,"Arizona","04","040","Pinetop","0268",,"PINETOP %CDP<",,,,,,1527,,,,
"G04055880",,,,,"G04055880","G04055880","Arizona","04","040","Pinetop Country Club CDP","55880",,,,,"Pinetop Country Club CDP","Pinetop Country Club CDP",,,,,1794,1409
