Time,Temp_Salt_SSP245,Temp_Verde_SSP245,Temp_Maricopa_SSP245,Precip_Salt_SSP245,Precip_Verde_SSP245,Precip_Maricopa_SSP245,Temp_Salt_SSP585,Temp_Verde_SSP585,Temp_Maricopa_SSP585,Precip_Salt_SSP585,Precip_Verde_SSP585,Precip_Maricopa_SSP585
2031-05-16 12:00:00,16.489359,17.466408,26.617027,408.566515181019,1984.1045909635795,306.13828486825696,16.396933,17.39103,26.210701,925.9512206870568,659.4329278262194,65.63830330228484
2031-06-16 00:00:00,20.732214,22.415977,30.6406,247.9759918419404,4.546054343336436,28.76177966436444,20.326698,21.74415,30.20308,6077.939239733496,2575.356321001891,929.4546956452905
2031-07-16 12:00:00,25.201252,27.152039,35.655373,6620.097070227439,1653.7666304825962,682.185813463775,24.231016,25.64879,34.45037,7220.368109478659,5197.081100037121,2892.9477196571497
2031-08-16 12:00:00,21.409876,23.467478,32.421806,34811.40385787585,42620.97540824907,44305.1534608996,21.5971,23.345827,32.003426,38976.69032032136,43772.162291634595,47419.46288990148
2031-09-16 00:00:00,19.347143,20.825363,30.452312,5102.07690754396,9215.645913023309,3458.432639652983,19.635645,20.819065,30.086084,2605.7129811297273,2162.1948528668327,44.034088588432496
2031-10-16 12:00:00,13.33613,14.228577,23.160912,15093.968197109643,16958.465624038945,10090.790587010997,12.997933,13.479177,22.567587,9086.967222323437,10852.238108844176,1510.2032985849291
2031-11-16 00:00:00,8.520694,10.237975,18.596401,2285.679885564605,1262.2989974456686,249.49983450960644,8.2962055,9.724217,17.699142,20284.249892021762,26551.235975377494,25602.81977034174
2031-12-16 12:00:00,2.0453956,3.0537136,10.700782,9813.822122734564,13649.610420015233,14483.215072529856,3.1846585,4.1847982,11.822116,8166.731306056317,11851.760457453202,5501.200857619324
2032-01-16 12:00:00,3.6016831,4.820372,12.657989,2646.1327880913814,2597.8393949972087,420.555140652732,3.6903236,5.056432,12.456595,959.1737946305329,950.7445877095961,129.043864051755
2032-02-15 12:00:00,0.42583606,2.5872304,11.118387,8704.89456421783,7967.451617883853,5783.238750337841,2.8240705,4.3346972,12.869927,7366.912398729619,8794.328169250366,8316.715862900128
2032-03-16 12:00:00,12.175565,13.895517,21.577164,648.7828798413375,71.59682003157286,0.0,11.346343,12.695389,20.532032,675.233239344152,1449.4651745387728,12.452739842046867
2032-04-16 00:00:00,13.391958,14.352842,22.487572,288.38878100441434,34.35529949638294,0.0,12.526124,13.467875,21.648302,4620.053794473279,8214.87362714106,5114.388732106818
2032-05-16 12:00:00,16.691555,17.413961,25.992237,148.80554429419135,219.39660215280128,6.6300002812113235,16.218912,17.132019,25.6173,7032.762352034479,2231.1447347712146,365.91697452504377
2032-06-16 00:00:00,21.523096,23.426174,31.63001,10679.860087486304,5427.250511381317,1523.79433541455,21.43171,23.092402,31.6709,4706.730900465118,3889.068049308662,3367.2188457508128
2032-07-16 12:00:00,22.965508,24.769,33.833187,17929.568133159773,17779.8387347073,9683.52966162679,23.737694,25.108387,34.19734,37353.853073873324,33135.64733169624,28690.2858488771
2032-08-16 12:00:00,21.505661,22.828686,32.044914,14595.014524460203,3503.019014043275,1767.289740572096,21.69648,23.339249,32.37708,22130.399875708827,21006.791891313333,16716.15396230527
2032-09-16 00:00:00,20.871191,21.922098,30.932138,10493.500218392,8184.5086031426035,2677.7963215031377,20.262794,21.505342,30.54559,15733.182954820222,17846.060306605068,5401.707005742082
2032-10-16 12:00:00,13.4202585,14.389613,23.375895,21749.767471748055,13705.644974254392,8525.40156942614,13.5354805,14.901724,23.64621,16996.84834539512,5123.334610556049,1466.3023093936772
2032-11-16 00:00:00,8.20753,8.94859,17.367006,15732.685962051619,19358.616224330035,13612.80213029022,6.8380785,7.6921725,16.367018,1365.199262963415,3627.4069828932625,1433.6755173267193
2032-12-16 12:00:00,3.107258,3.9114976,12.046206,9336.221578560071,5152.773848359766,4630.79303003542,2.322086,3.3661575,11.409596,13765.791392946267,14560.846145114192,21009.52460506669
2033-01-16 12:00:00,1.647924,2.769819,10.840222,13065.316841515596,10515.0566551245,15338.822087951121,2.957212,4.057841,11.876466,22948.414821072947,19101.918057669536,21375.06931569369
2033-02-15 00:00:00,5.5061593,5.18587,14.661613,14510.230041795876,14497.962536496925,12954.188435483957,4.113392,4.388079,13.338436,14995.87040139595,21128.28945759684,16700.70435781745
2033-03-16 12:00:00,8.80186,9.775009,18.426027,4930.7506469450345,8610.291599118864,1525.5788664791908,8.471073,9.6961775,18.216038,25309.880229301052,24309.490217985876,24821.517175334156
2033-04-16 00:00:00,11.104804,12.002986,20.92806,4297.441956474358,7426.258701532788,1585.9538017789419,10.939584,11.999746,20.853884,5938.366300571943,10073.55897767411,2030.556203213564
2033-05-16 12:00:00,16.971737,18.594929,27.316847,953.4939994553952,669.1920370243679,173.02205781656994,15.9041,17.661982,26.787275,8900.558875758725,2710.99932941288,1392.1759133985233
2033-06-16 00:00:00,18.621645,19.950747,29.3902,15173.59387183933,13275.282853309363,2193.899611795132,19.401691,20.836031,30.150509,630.8382836041346,139.6554852817644,20.52503066170175
2033-07-16 12:00:00,24.628319,26.490646,35.602036,31570.556309603853,36751.56534308335,33461.718438697426,24.180996,25.98764,35.027218,5647.430309453193,10094.753270180809,3557.783046283248
2033-08-16 12:00:00,23.76875,26.068602,34.92489,23573.327839589183,13210.99574603577,9414.111781586644,23.659904,25.669533,34.239323,54400.37351986393,54058.503582008416,61463.5923871072
2033-09-16 00:00:00,19.284613,20.884478,30.228283,17499.7354215011,8928.9502827869,6425.472993256335,19.342663,20.983055,30.530003,10500.028840404411,19956.784294947283,10997.765304024142
2033-10-16 12:00:00,15.338741,16.228474,25.098974,11254.882257929421,10864.673455104275,9104.223484283102,14.403823,15.308854,24.106335,10775.609562105092,11182.59285722088,4935.2297951413675
2033-11-16 00:00:00,9.412465,9.650728,18.708563,2620.412617159218,4002.202244973887,1542.5299136622925,8.603822,9.325247,17.814814,3521.294642234352,3687.906890038903,858.1586644777417
2033-12-16 12:00:00,6.0155206,6.4811296,14.351567,52503.94990987843,76432.05758800032,85195.99823118187,3.4259768,4.5179195,12.449016,27177.495887421537,37055.56025534752,32272.25157734065
2034-01-16 12:00:00,4.3463974,5.4495955,13.458248,24321.053481739364,33885.22539062833,27289.470773001085,2.8751302,3.717915,11.544892,2179.9902750836736,4535.589461204381,1873.4105002601154
